order_id,customer_id,product_id,order_date,quantity,price
c4549bb0-4447-42e9-95ef-4e95eea52615,5d9a6d91-ca44-43a4-8bd9-77aa46de9f47,7c1ca02e-cc1c-4340-b574-fd8bfc7a86ec,2023-05-18,9,265.93
c9857dc8-cbf9-4d51-aeba-d473bb2fb3fc,e2f4861b-76ee-4696-9ace-b73dc655b67f,2afe81e2-3ab6-4a6b-bf1f-576aff76f87b,2022-09-05,6,112.79
258bedaa-1775-47b9-bf92-376ad4971709,20421373-8211-4c2a-a0b5-7b7b2832ff57,c490c484-e557-4c42-b9b5-fbc90fde3564,2023-11-02,6,473.19
f16e4aa6-21c8-44d7-b3d5-25e6abbaef00,5528f785-91d3-4fb3-a35e-54d4883fee1a,d4c70cb3-2dab-4dac-9e5e-97385d3fdbf8,2023-06-22,5,173.02
fd3b5968-a042-4ae3-9b26-65f0a5aac68e,a0fbbe2a-a7cb-4976-b018-4eacc5c0c63c,2afe81e2-3ab6-4a6b-bf1f-576aff76f87b,2023-06-27,8,112.79
9df71b9c-f318-4573-bd53-c79696353754,d28b1e9b-3c96-4c68-8618-c138b8986de7,b627a278-16f0-4abe-b501-10d6cf297b89,2024-04-15,3,362.72
3667d33b-5a8f-4dad-8e80-2324c3ec8469,cfd7b009-e1c6-439c-be34-6e51c33da6a6,29b39332-40ef-45bf-81ee-2839ca3b4343,2024-03-16,10,466.5
c3647dd7-8de9-413f-8260-772f333d251b,21de9440-9bdd-4014-8662-391b32137293,8044e10f-5850-477b-bb0c-a1277b58dbaf,2024-01-19,6,105.52
b682b3a5-8b06-4398-8318-168f27c28a77,6a81bcdf-c167-47e5-811a-7076a18ba9e8,a22ccdb9-d439-4ded-93a6-64d87c033938,2023-05-25,2,426.35
35e84352-51f4-4806-ba6d-ef832078362e,20421373-8211-4c2a-a0b5-7b7b2832ff57,70d33a1d-c15d-4d95-946f-5ec2ae422784,2022-12-26,8,151.99
276391b3-0fd6-463b-a5b7-e4488dd16dfe,f64401e5-5d4a-4af0-9097-7889ae6acf01,c7d77e39-332e-40a4-baad-fb574343732b,2022-12-08,10,499.46
ba8fa225-03eb-464a-99b0-e107592f4d90,2eff060d-4020-4997-8aa0-dd3825c7dbe0,de4b2f20-8cd3-4bdf-80fa-59651524549c,2023-02-08,1,272.11
b13741a3-539c-4130-be3d-4f2e72703fa5,1b552ef5-4cc2-4679-81e6-08461477f1c8,de4b2f20-8cd3-4bdf-80fa-59651524549c,2024-01-03,4,272.11
851493ca-064e-4c17-926b-66a88f5f7b6d,2eff060d-4020-4997-8aa0-dd3825c7dbe0,27516423-e285-44df-991c-71c619ea2bb1,2024-02-16,3,232.95
e9a4c5fe-bbe0-4081-bc73-f9573027f7a0,e0734f95-5bf6-4dcd-84b7-ec7287bf96a8,09cf3bf9-8117-40e3-a794-71c056298724,2023-03-10,9,279.98
67cb6306-8372-48ae-a207-92fa46357316,86cc4ed8-a92b-40cf-b1de-9f87aa5c1981,8044e10f-5850-477b-bb0c-a1277b58dbaf,2023-12-23,6,105.52
cf075be5-8392-412b-a0aa-b02e9b1daaf3,d92611c6-b22e-4701-97cc-659ecabafbc5,3145d1fc-231c-4c04-b9eb-df0f38bc50af,2022-10-27,4,456.75
4105b507-8bfb-45dd-b0fa-33fae6ba780f,86cc4ed8-a92b-40cf-b1de-9f87aa5c1981,d4c70cb3-2dab-4dac-9e5e-97385d3fdbf8,2023-04-10,10,173.02
d921387e-360f-40dd-860c-b577739528c2,91dd0e62-c959-4203-a79d-de01b076b1dd,e5394d39-48cb-45ae-8735-0311a5635172,2023-12-17,1,56.15
0312b5d3-839d-4aaa-91c3-5baa0825796a,de744d66-a7dc-4cb2-8763-d5410d276d10,9fd9da26-3d02-456d-b911-26142d310376,2024-01-07,2,455.93
fe5c165f-f68d-4ef6-b4cd-10e0d84b6b06,1ae1f569-37e9-451d-90c8-15d56b91523b,1d25d50d-9878-454a-9855-560e49fb265b,2024-02-04,1,379.47
3a84eb9a-da41-4de5-bd52-016042639e76,a485c1c9-a2d8-420b-b857-b21ff9dd3c3f,ac7fc824-4373-484f-bab2-4c40f0400a0a,2022-11-11,6,30.25
343e475b-fe6e-4556-b85e-1d4ed51af659,20421373-8211-4c2a-a0b5-7b7b2832ff57,2c03fa0e-2179-4797-a525-6d292dbf590d,2023-06-25,7,307.26
367507ad-d341-43cc-aad7-9ceb28651542,59fb48a2-e4b2-4678-a606-09e4a2d2831d,e701e6ad-9c75-4ab6-af08-a713fa5ae9b7,2023-01-15,5,424.07
dcc0e093-88f3-415a-b15f-da789d30e17d,1b552ef5-4cc2-4679-81e6-08461477f1c8,562344ce-072b-422a-8ec5-6efd2c9a03fc,2022-07-22,5,435.31
e9c228b4-80fe-4398-b1cd-69f7eedb7ee1,21de9440-9bdd-4014-8662-391b32137293,50f81864-9e16-477d-9c61-b402dd35c7e7,2023-12-13,10,485.2
